,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
12,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctica,Antarctica,3202,3203,Revised international conservation legislation for Antarctica has recently been adopted (Antarctic Treaty (Environment Protection),False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
13,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctic Continent,the Antarctic Continent,3308,3310,"five described Friesea species known from the Antarctic Continent and Peninsula (Table 3).
",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
14,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctica,Antarctica,3499,3500,Antarctica and the strategic plan for biodiversity.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
15,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctic Peninsula,Antarctic Peninsula,3613,3615,Collembola from the Scotia Arc and Antarctic Peninsula including descriptions of two new species and notes on biogeography.,False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
16,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctica,Antarctica,3721,3722,"A new species of Collembola (Isotomidae) from Sverdrupfjella, Antarctica, with notes on related species in five genera.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
17,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Enderby Land eastern Antarctica,Enderby Land eastern Antarctica,3822,3826,Flora and fauna in freshwater bodies of the Thala Hills Oasis (Enderby Land eastern Antarctica).,False,False,False,False,False,False,False,False,,,,,,,False,,,,Enderby Land,,Enderby Land,True,False,True,True
18,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,North America,North America,3983,3985,(Odontellidae) from North America.,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
19,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctica,Antarctica,4025,4026,"Islands in ice: isolated populations of Cryptopygus sverdrupi (Collembola) among nunataks in the S@r Rondane Mountains, Droning Maud Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
20,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,East Antarctic,East Antarctic,4067,4069,"Preliminary description of tardigrade species diversity and distribution pattern around coastal Syowa Station and inland Sor Rondane Mountains, Dronning Maud Land, East Antarctic.",False,False,False,False,False,False,False,False,,,,East Antarctica,,,True,,,,,,,False,False,True,True
21,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctica,Antarctica,4129,4130,"(Collembola, Neanuridae) from King George Island South Shetland Islands, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
