,geonameid,name,asciiname,latitude,longitude,country code
186679,6630785,Canso Rocks,Canso Rocks,-63.666000000000004,-59.3,AQ
186680,6630786,"Canso, punta","Canso, punta",-63.683330000000005,-59.05,AQ
186681,6630787,"Cantello, Mount","Cantello, Mount",-70.86667,163.11667,AQ
186682,6630788,Canterbury Hill,Canterbury Hill,-69.39694,76.32889,AQ
186683,6630789,Canterbury Spur,Canterbury Spur,-84.71667,-113.75,AQ
186684,6630790,"Fort William, punta","Fort William, punta",-62.433330000000005,-59.583330000000004,AQ
186685,6630791,Cantrell Peak,Cantrell Peak,-71.2,165.23333,AQ
186686,6630792,Allan Hills,Allan Hills,-76.71667,159.66666999999998,AQ
186687,6630793,"Canty, punta","Canty, punta",-64.75344,-63.51323000000001,AQ
186688,6630794,"Canwe, Cape","Canwe, Cape",-74.71667,163.68333,AQ
186689,6630795,Canyon Glacier,Canyon Glacier,-83.95,175.41666999999998,AQ
186690,6630796,Canyon Lake,Canyon Lake,-68.60306,78.57,AQ
186691,6630797,Cape Pigeon Rocks,Cape Pigeon Rocks,-66.98333000000001,143.78333,AQ
186692,6630798,Capella Rocks,Capella Rocks,-70.64674000000001,-66.50399,AQ
186693,6630799,Abrupt Island,Abrupt Island,-66.99194,57.84583000000001,AQ
186694,6630800,"Allan Thomson, Mount","Allan Thomson, Mount",-76.95,161.71667,AQ
186695,6630801,"Capley, Mount","Capley, Mount",-79.53333,-83.21667,AQ
186696,6630802,Capling Peak,Capling Peak,-72.43333,167.13333,AQ
186697,6630803,"Cappagli, ensenada","Cappagli, ensenada",-62.583330000000004,-61.433330000000005,AQ
186698,6630804,Cappellari Glacier,Cappellari Glacier,-85.86667,-158.66666999999998,AQ
186699,6630805,Capsize Glacier,Capsize Glacier,-74.03333,163.33333000000002,AQ
186700,6630806,Capstan Rocks,Capstan Rocks,-64.95645,-63.42268000000001,AQ
186701,6630807,Captain Ahab,Captain Ahab,-62.0,-57.61666999999999,AQ
186702,6630808,Carapace Nunatak,Carapace Nunatak,-76.9,159.45,AQ
186703,6630809,Caraquet Rock,Caraquet Rock,-62.10975,-58.99456,AQ
186704,6630810,"Allan, Mount","Allan, Mount",-69.99085,-67.76514,AQ
186705,6630811,"Cara, Mount","Cara, Mount",-82.75,161.1,AQ
186706,6630812,"Carbajal, cabo","Carbajal, cabo",-69.53333,-68.26666999999999,AQ
186707,6630813,"Carbajal, islotes","Carbajal, islotes",-67.55,-67.78333,AQ
186708,6630814,"Carbone, Mount","Carbone, Mount",-76.36667,-144.5,AQ
186709,6630815,Carbutt Glacier,Carbutt Glacier,-65.15227,-62.830169999999995,AQ
186710,6630816,Cardell Glacier,Cardell Glacier,-66.43555,-65.46134,AQ
186711,6630817,"Cardell, Mount","Cardell, Mount",-70.21667,65.2,AQ
186712,6630818,"Cardinall, Mount","Cardinall, Mount",-63.44815,-57.182930000000006,AQ
186713,6630819,"Cardozo, caleta","Cardozo, caleta",-62.16305,-58.59985,AQ
186714,6630820,Care Heights,Care Heights,-69.416,-70.75,AQ
186715,6630821,Allegheny Mountains,Allegheny Mountains,-77.33333,-143.0,AQ
186716,6630822,Carey Glacier,Carey Glacier,-78.83333,-84.0,AQ
186717,6630823,Carey Range,Carey Range,-72.93952,-62.49285,AQ
186718,6630824,"Carezza, Lago","Carezza, Lago",-74.71,164.04667,AQ
186719,6630825,Cargo Pond,Cargo Pond,-76.91667,161.1,AQ
186720,6630826,Carina Heights,Carina Heights,-71.15,-66.133,AQ
186721,6630827,Carleton Glacier,Carleton Glacier,-78.01666999999999,162.5,AQ
186722,6630828,"Carlitos, punta","Carlitos, punta",-64.31667,-62.9,AQ
186723,6630829,"Carlos V, Monte","Carlos V, Monte",-64.81667,-62.9,AQ
186724,6630830,"Carlota, Bahía","Carlota, Bahia",-62.37104,-59.696659999999994,AQ
186725,6630831,Allegro Valley,Allegro Valley,-71.3,160.16666999999998,AQ
186726,6630832,Carlson Glacier,Carlson Glacier,-69.39994,-68.02229,AQ
186727,6630833,Carlson Inlet,Carlson Inlet,-77.833,-80.0,AQ
186728,6630834,Carlson Island,Carlson Island,-63.87664,-58.265409999999996,AQ
186729,6630835,Carlson Peak,Carlson Peak,-75.95411,-70.5482,AQ
186730,6630836,"Carlsson, bahía","Carlsson, bahia",-64.3838,-58.058840000000004,AQ
186731,6630837,Carlyon Glacier,Carlyon Glacier,-79.61667,160.0,AQ
186732,6630838,"Carmen, península","Carmen, peninsula",-64.3,-62.9,AQ
186733,6630839,"Carmer, Mount","Carmer, Mount",-86.1,-131.18333,AQ
